"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 02:25:15 GMT 2023","Sat Jun 24 02:25:16 GMT 2023","1303","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Jun 24 02:25:19 GMT 2023","Sat Jun 24 02:25:19 GMT 2023","81","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Jun 24 02:25:10 GMT 2023","Sat Jun 24 02:25:13 GMT 2023","3151","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Jun 24 02:25:16 GMT 2023","Sat Jun 24 02:25:18 GMT 2023","1955","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Jun 24 02:25:13 GMT 2023","Sat Jun 24 02:25:15 GMT 2023","1333","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Jun 24 02:25:29 GMT 2023","Sat Jun 24 02:25:37 GMT 2023","7975","","Login","","Login successful","","Login successful",""
"passed","Sat Jun 24 02:25:18 GMT 2023","Sat Jun 24 02:25:19 GMT 2023","805","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
