"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 01:57:57 GMT 2023","Sat May 06 01:58:06 GMT 2023","9171","","Login","","Login successful","","Login successful",""
"passed","Sat May 06 01:57:49 GMT 2023","Sat May 06 01:57:52 GMT 2023","3309","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat May 06 01:57:52 GMT 2023","Sat May 06 01:57:53 GMT 2023","1206","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat May 06 01:57:53 GMT 2023","Sat May 06 01:57:55 GMT 2023","1357","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat May 06 01:57:56 GMT 2023","Sat May 06 01:57:57 GMT 2023","823","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat May 06 01:57:55 GMT 2023","Sat May 06 01:57:56 GMT 2023","1479","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat May 06 01:57:57 GMT 2023","Sat May 06 01:57:57 GMT 2023","136","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
