"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 23:06:28 GMT 2023","Thu Apr 27 23:06:29 GMT 2023","1621","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Thu Apr 27 23:06:35 GMT 2023","Thu Apr 27 23:06:46 GMT 2023","11628","","Login","","Login successful","","Login successful",""
"passed","Thu Apr 27 23:06:34 GMT 2023","Thu Apr 27 23:06:34 GMT 2023","933","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Thu Apr 27 23:06:32 GMT 2023","Thu Apr 27 23:06:33 GMT 2023","1974","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Thu Apr 27 23:06:23 GMT 2023","Thu Apr 27 23:06:28 GMT 2023","4998","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Thu Apr 27 23:06:34 GMT 2023","Thu Apr 27 23:06:35 GMT 2023","195","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Thu Apr 27 23:06:29 GMT 2023","Thu Apr 27 23:06:32 GMT 2023","2014","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
