"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 02:16:28 GMT 2023","Sat Jun 10 02:16:33 GMT 2023","4157","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Jun 10 02:16:33 GMT 2023","Sat Jun 10 02:16:35 GMT 2023","1967","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Jun 10 02:16:35 GMT 2023","Sat Jun 10 02:16:37 GMT 2023","1949","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Jun 10 02:16:41 GMT 2023","Sat Jun 10 02:16:51 GMT 2023","9971","","Login","","Login successful","","Login successful",""
"passed","Sat Jun 10 02:16:37 GMT 2023","Sat Jun 10 02:16:39 GMT 2023","2694","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Jun 10 02:16:41 GMT 2023","Sat Jun 10 02:16:41 GMT 2023","188","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Jun 10 02:16:39 GMT 2023","Sat Jun 10 02:16:41 GMT 2023","1272","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
