"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 03 02:17:23 GMT 2023","Sat Jun 03 02:17:25 GMT 2023","2662","","Login","","Login successful","","Login successful",""
"passed","Sat Jun 03 02:17:09 GMT 2023","Sat Jun 03 02:17:10 GMT 2023","874","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Jun 03 02:17:04 GMT 2023","Sat Jun 03 02:17:06 GMT 2023","1325","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Jun 03 02:17:07 GMT 2023","Sat Jun 03 02:17:09 GMT 2023","1571","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Jun 03 02:17:06 GMT 2023","Sat Jun 03 02:17:07 GMT 2023","1546","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Jun 03 02:17:10 GMT 2023","Sat Jun 03 02:17:10 GMT 2023","90","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Jun 03 02:17:01 GMT 2023","Sat Jun 03 02:17:04 GMT 2023","3822","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
