"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 17 02:08:30 GMT 2023","Sat Jun 17 02:08:33 GMT 2023","3368","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Jun 17 02:08:25 GMT 2023","Sat Jun 17 02:08:27 GMT 2023","1447","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Jun 17 02:08:33 GMT 2023","Sat Jun 17 02:08:44 GMT 2023","10304","","Login","","Login successful","","Login successful",""
"passed","Sat Jun 17 02:08:27 GMT 2023","Sat Jun 17 02:08:28 GMT 2023","1604","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Jun 17 02:08:21 GMT 2023","Sat Jun 17 02:08:25 GMT 2023","3736","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Jun 17 02:08:28 GMT 2023","Sat Jun 17 02:08:30 GMT 2023","1766","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Jun 17 02:08:33 GMT 2023","Sat Jun 17 02:08:33 GMT 2023","137","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
