"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 02:44:38 GMT 2023","Thu Apr 27 02:44:39 GMT 2023","1563","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Thu Apr 27 02:44:41 GMT 2023","Thu Apr 27 02:44:44 GMT 2023","2143","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Thu Apr 27 02:44:45 GMT 2023","Thu Apr 27 02:44:45 GMT 2023","219","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Thu Apr 27 02:44:39 GMT 2023","Thu Apr 27 02:44:41 GMT 2023","1932","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Thu Apr 27 02:44:33 GMT 2023","Thu Apr 27 02:44:38 GMT 2023","4852","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Thu Apr 27 02:44:44 GMT 2023","Thu Apr 27 02:44:45 GMT 2023","1163","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Thu Apr 27 02:44:45 GMT 2023","Thu Apr 27 02:44:58 GMT 2023","13000","","Login","","Login successful","","Login successful",""
