"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 02:00:38 GMT 2023","Sat May 13 02:00:39 GMT 2023","1634","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat May 13 02:00:34 GMT 2023","Sat May 13 02:00:38 GMT 2023","3570","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat May 13 02:00:39 GMT 2023","Sat May 13 02:00:41 GMT 2023","1894","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat May 13 02:00:44 GMT 2023","Sat May 13 02:00:45 GMT 2023","970","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat May 13 02:00:41 GMT 2023","Sat May 13 02:00:44 GMT 2023","3063","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat May 13 02:00:45 GMT 2023","Sat May 13 02:00:46 GMT 2023","189","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat May 13 02:00:46 GMT 2023","Sat May 13 02:01:00 GMT 2023","13881","","Login","","Login successful","","Login successful",""
