"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 20 02:01:29 GMT 2023","Sat May 20 02:01:31 GMT 2023","1296","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat May 20 02:01:31 GMT 2023","Sat May 20 02:01:32 GMT 2023","1416","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat May 20 02:01:32 GMT 2023","Sat May 20 02:01:33 GMT 2023","764","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat May 20 02:01:25 GMT 2023","Sat May 20 02:01:28 GMT 2023","3258","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat May 20 02:01:47 GMT 2023","Sat May 20 02:01:55 GMT 2023","7754","","Login","","Login successful","","Login successful",""
"passed","Sat May 20 02:01:28 GMT 2023","Sat May 20 02:01:29 GMT 2023","1101","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat May 20 02:01:33 GMT 2023","Sat May 20 02:01:33 GMT 2023","107","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
