"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 29 02:03:27 GMT 2023","Sat Apr 29 02:03:35 GMT 2023","7800","","Login","","Login successful","","Login successful",""
"passed","Sat Apr 29 02:03:16 GMT 2023","Sat Apr 29 02:03:17 GMT 2023","821","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Apr 29 02:03:14 GMT 2023","Sat Apr 29 02:03:16 GMT 2023","1616","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Apr 29 02:03:17 GMT 2023","Sat Apr 29 02:03:17 GMT 2023","136","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Apr 29 02:03:12 GMT 2023","Sat Apr 29 02:03:13 GMT 2023","1143","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Apr 29 02:03:08 GMT 2023","Sat Apr 29 02:03:12 GMT 2023","3230","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Apr 29 02:03:13 GMT 2023","Sat Apr 29 02:03:14 GMT 2023","1211","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
